ID;Premise_Name;Premise_Address1;Premise_Address2;Premise_City;Premise_State;Premise_Zip;Premise_Phone;Hours_Of_Operation;Opening_Date;Closing_Date;Seats;Water;Sewage;Insp_Freq;Est_Group_Desc;Risk;Smoking_Allowed;Type_Description;Rpt_Area_Desc;Status;Transitional_Type_Desc;geolocation
56060;WEST 94TH ST PUB;4711 HOPE VALLEY RD;SUITE 6C;DURHAM;NC;27707;(919) 403-0025;;1994-09-01;;60;5 - Municipal/Community;3 - Municipal/Community;4;Full-Service Restaurant;4;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9207272, -78.9573299
58123;BROOKDALE DURHAM IFS;4434 BEN FRANKLIN BLVD;;DURHAM;NC;27704;(919) 479-9966;;2003-10-15;;350;5 - Municipal/Community;3 - Municipal/Community;4;Nursing Home;4;NO;16 - Institutional Food Service;Food Service;ACTIVE;FOOD;36.0467802, -78.8895483
70266;SMOOTHIE KING;1125 W. NC HWY 54 SUITE 806;;DURHAM;NC;27707;(919) 489-7300;;2009-07-09;;7;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9182655, -78.9593263
97837;HAMPTON INN & SUITES;1542 N GREGSON ST;;DURHAM;NC;27701;(919) 688-8880;;2012-01-09;;100;5 - Municipal/Community;3 - Municipal/Community;2;Full-Service Restaurant;2;NO;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0183378, -78.9060312
60690;BETTER LIVING CONCEPTS OF DURHAM;909 GARCIA ST;;DURHAM;NC;27704;(919) 477-5825;;2008-06-02;;6;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;43 - Residential Care;Residential Care;ACTIVE;N/A;36.0556347, -78.9135175
60686;ADVENTURE HOUSE;4 KIMBROUGH COURT;;DURHAM;NC;27703;(919) 957-9097;;2008-06-02;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;43 - Residential Care;Residential Care;ACTIVE;N/A;35.984012, -78.8077969
85252;ANOTHER BEAUTIFUL BEGINNINGS;1309 ANGIER AVE.;;DURHAM;NC;27701;(919) 682-5292;;2010-08-23;;;5 - Municipal/Community;3 - Municipal/Community;2;;0;NO;42 - Child Care;Day Care;ACTIVE;N/A;35.9857413, -78.8865863
59120;BRIDGES AT SOUTHPOINT APTS;7304 CALIBRE PARK DR;;DURHAM;NC;27707;;;1996-04-02;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;53 - Year-Round Swimming Pool;Swimming Pools;ACTIVE;N/A;35.913596, -78.9602128
59124;SHEARTON INN UNIVERSITY;2800 CAMPUS WALK AVE;;DURHAM;NC;27705;;;1996-04-25;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;53 - Year-Round Swimming Pool;Swimming Pools;ACTIVE;N/A;36.0111429, -78.953045
59263;SPA HEALTH CLUB;3419 HILLSBOROUGH RD;;DURHAM;NC;27705;;;2000-05-30;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;55 - Year-Round Spa;Swimming Pools;ACTIVE;N/A;36.0184133, -78.947422
58349;KROGER R 381 MEAT MARKET;3825 S ROXBORO ST;SUITE 101;DURHAM;NC;27707;(919) 361-0470;;2003-03-03;;0;5 - Municipal/Community;3 - Municipal/Community;3;Meat and Poultry Department;3;N/A;30 - Meat Market;Food Service;ACTIVE;FOOD;35.9495321, -78.9211694
58342;LEONE INTERNATIONAL GROCERY/MEAT MARKET;810 FAYETTEVILLE ST;SUITE 108;DURHAM;NC;27701;(919) 680-0800;;2001-08-17;;0;5 - Municipal/Community;3 - Municipal/Community;3;;3;NO;30 - Meat Market;Food Service;ACTIVE;FOOD;35.9852771, -78.898944
57278;PIZZA HUT DELIVERY;3808 GUESS ROAD;;DURHAM;NC;27705;(919) 477-7377;;1990-07-01;;0;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;2 - Food Stands;Food Service;ACTIVE;FOOD;36.0586094, -78.9279599
57190;CHUBBYS TACOS;748 NINTH STREET;;DURHAM;NC;27705;(919) 286-4499;;2008-04-18;;36;5 - Municipal/Community;3 - Municipal/Community;4;Fast Food Restaurant;4;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;36.0094173, -78.9218729
57585;SUBWAY;1058 W CLUB;;DURHAM;NC;27701;(919) 286-9681;;1999-01-19;;0;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;NO;2 - Food Stands;Food Service;ACTIVE;FOOD;36.018111, -78.9102149
59132;DUKE UNIVERSITY AQUATIC CTR DIVIN;AQUATIC CENTER WEST CAMPUS;200 FACILITIES CTR;DURHAM;NC;27708;;;1996-01-30;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;53 - Year-Round Swimming Pool;Swimming Pools;ACTIVE;N/A;35.9973617, -78.9413099
58444;DEBORAH'S DAY CARE;1801 STAGE RD;;DURHAM;NC;27703;(919) 596-3636;;1994-08-11;;12;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;42 - Child Care;Day Care;ACTIVE;N/A;35.946055, -78.84444
59136;EMERALD FOREST APTMENTS;4512 EMERALD FOREST DR;;DURHAM;NC;27713;;;1996-01-30;;0;5 - Municipal/Community;3 - Municipal/Community;2;;0;N/A;53 - Year-Round Swimming Pool;Swimming Pools;ACTIVE;N/A;35.9039037, -78.9053086
59038;AUBURN SWIM CLUB;1105 PEBBLE CREEK CROSSING;;DURHAM;NC;27713;;;2002-09-18;;0;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;50 - Seasonal Swimming Pool;Swimming Pools;ACTIVE;N/A;35.913281, -78.91466
178137;DUKE UNIVERSITY WEST UNION FARMSTEAD;406 CHAPEL DRIVE;PO BOX 90898;DURHAM;NC;27708;(919) 660-3900;;2016-07-11;;100;5 - Municipal/Community;3 - Municipal/Community;4;Fast Food Restaurant;4;N/A;6 - Edu. Food Service;Food Service;ACTIVE;FOOD;36.001517, -78.9391734
181419;DICKEYS BARBECUE PIT;5318 NEW HOPE COMMONS;;DURHAM;NC;27707;(916) 502-6757;;2016-11-14;;88;5 - Municipal/Community;3 - Municipal/Community;3;Full-Service Restaurant;3;N/A;1 - Restaurant;Food Service;ACTIVE;FOOD;35.9550003, -78.9931015
174219;WICKED SHOTZ CONSORTIUM;609 WILLIAM VICKERS;;DURHAM;NC;27701;(760) 402-5932;Tuesday - Saturday 3-11:30pm;2016-05-27;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;61 - Tattoo Artists;Tattoo Establishments;ACTIVE;N/A;35.996248, -78.911559
170866;RAFA'S BURGERS;2300 CHAPEL HILL ROAD;;DURHAM;NC;27707;(919) 923-3267;;2016-02-04;;;5 - Municipal/Community;3 - Municipal/Community;2;Fast Food Restaurant;2;N/A;3 - Mobile Food;Mobile Food;ACTIVE;FOOD;35.9831979, -78.9311407
174161;TLC ADULT CARE GROUP HOME DUNBAR;603 DUNBAR ST;;DURHAM;NC;27701;(919) 937-3437;;2016-05-25;;5;5 - Municipal/Community;3 - Municipal/Community;1;;0;NO;43 - Residential Care;Residential Care;ACTIVE;N/A;35.9788289, -78.8985607
170975;WHO KNEW RESIDENTIAL;603 N. MAPLE ST.;;DURHAM;NC;27703;(919) 237-3056;;2016-02-12;;3;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;43 - Residential Care;Residential Care;ACTIVE;N/A;35.9916368, -78.8808892
171097;A NEW BEGINNING -NORTH;4005 HOLT SCHOOL ROAD;;DURHAM;NC;27704;(919) 672-4536;;2016-03-10;;100;5 - Municipal/Community;3 - Municipal/Community;2;;0;NO;42 - Child Care;Day Care;ACTIVE;N/A;36.0549139, -78.906981
174546;SH'BELLA MODEL AND TALENT ENTERTAINMENT;1058 W CLUB SUITE 223 OFFICE 2;;DURHAM;NC;27701;;;2016-05-23;;15;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;22 - Summer Camps;Summer Camps;ACTIVE;LODGING;36.018111, -78.9102149
178283;BEACON LIGHTS ACADEMY;506 N DRIVER ST.;;DURHAM;NC;27703;;;2016-07-19;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.990797, -78.878259
178288;LOVE DIVINE MINISTRY;318 S. DRIVER ST.;;DURAHM;NC;27703;;;2016-07-01;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;72 - Summer Feeding Program;Summer Food;ACTIVE;N/A;35.98219, -78.8778112
179698;DOGSTAR TATTOO COMPANY - ANDREW R. LOCKAMY;807 E. MAIN ST.;SUITE 6-101;DURHAM;NC;27701;(919) 709-5287;12-9 pm;2016-09-07;;;5 - Municipal/Community;3 - Municipal/Community;1;;0;N/A;61 - Tattoo Artists;Tattoo Establishments;ACTIVE;N/A;35.9908126, -78.8902944
179950;DUKE UNIVERSITY/TRIDENT PROVISIONS LEVEL 1;115 FRANK BASSETT DR.;.;DURHAM;NC;27708;(954) 295-2226;;2016-09-15;;450;5 - Municipal/Community;3 - Municipal/Community;2;;2;N/A;6 - Edu. Food Service;Food Service;ACTIVE;FOOD;35.9950533, -78.9447645
