OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1001,04092016024,WABA,2502 1/2 HILLSBOROUGH  ST ,,RALEIGH,NC,27607,(919) 833-1710,2011-10-18T00:00:00.000Z,Restaurant,6952,-78.66818477,35.78783803,M
1002,04092021693,WALMART DELI #2247,2010 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 852-6651,2011-11-08T00:00:00.000Z,Food Stand,6953,-78.78211173,35.73717591,M
1003,04092017012,"CAROLINA SUSHI &amp; ROLL",5951-107 POYNER VILLAGE PKY ,,RALEIGH,NC,27616,(919) 981-5835,2015-08-28T00:00:00.000Z,Restaurant,6961,-78.57030208,35.86511564,M
1004,04092030288,THE CORNER VENEZUELAN FOOD (WCID #539),7500 RAMBLE WAY ,,RALEIGH,NC,27616,,2015-09-04T00:00:00.000Z,Mobile Food Units,6962,-78.537511,35.87630712,M
1005,04092015530,SUBWAY #3726,12233 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 556-8266,2009-12-11T00:00:00.000Z,Restaurant,6972,-78.54097555,35.98087357,M
1006,04092015554,BUKU,110 E DAVIE ST ,TWO PROGRESS PLAZA,RALEIGH,NC,27601,(919) 834-6963,2010-01-21T00:00:00.000Z,Restaurant,6973,-78.63762576,35.77518054,M
1007,04092016824,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,,RALEIGH,NC,27617,(919) 237-3919,2014-12-05T00:00:00.000Z,Restaurant,6981,-78.77695631,35.91424375,M
1008,04092030240,BIG MIKES BBQ (WCID #418),3200 Centregreen Way ,"610 GLENWOOD RALEIGH, NC 27603",CARY,NC,27502,(910) 436-3112,2012-03-12T00:00:00.000Z,Mobile Food Units,6995,-78.79790191,35.82644429,M
1009,04092016133,HIBACHI CHINA BUFFET,2909  E MILLBROOK RD ,,RALEIGH,NC,27604,(919) 878-5688,2012-03-16T00:00:00.000Z,Restaurant,6996,-78.58213563,35.85057911,M
1010,04092016595,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-9151,2014-01-03T00:00:00.000Z,Restaurant,6999,-78.69699987,35.66636356,M
